English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
werktags abends,vˈɛɾktɑːks ˈɑːbənts,"on weekday nights, on weeknights",,,geh.,0,abends unter der Woche
Abendgottesdienst,ˈɑːbəndɡˌɔtɛsdˌiːnst,"Evening prayer , evensong",,,relig.,0,Abendandacht
Dämmer,dˈɛmɜ,"dusk , evening twilight , twilight , gloaming",,,"geogr., poet., Sc.",1,"Abenddämmerung, Dämmerung"
Nachtmahl,nˈaxtmɑːl,"supper , evening meal",,,Ös.,0,"Nachtessen, Abendbrot, Abendessen"
Nachtessen,nˈaxtɛsən,"supper , evening meal",,,Ös.,0,"Abendbrot, Nachtmahl, Abendessen"
Znacht,tsˈɛtnˈaxt,"supper , evening meal",,,Schw.,0,"Nachtessen, Abendbrot, Nachtmahl"
kaltes Abendessen mit Tee,kˈaltəs ˈɑːbəndˌɛsən mɪt tˈeː,high tea,,,"cook., Br.",0,
Abendgottesdienst,ˈɑːbəndɡˌɔtɛsdˌiːnst,evening service,,,relig.,0,
Abendkarte,ˈɑːbəntkˌaɾtə,evening menu,,,cook.,0,
Abendkassa,ˌɑːbəntkˈasɑː,"evening box office , box office",,,Ös.,1,"Kassa, Abendkasse, Kasse"
Kassa,kˈasɑː,"evening box office , box office",,,Ös.,0,"Abendkasse, Kasse, Abendkassa"
Eucharistie,ˌɔøçarɪstˈiː,"Lord's Supper , Holy Communion , Blessed Sacrament , Sacrament of the Altar , Eucharist",,,relig.,0,"heilige Kommunion, Altarssakrament, Abendmahl"
Abendmahlsgottesdienst,ˈɑːbəndmˌɑːlsɡɔtˌɛsdiːnst,Communion service,,,relig.,0,
Abendmahlswein,ˈɑːbəndmˌɑːlsvaɪn,Communion wine,,,relig.,0,
Abendgottesdienst,ˈɑːbəndɡˌɔtɛsdˌiːnst,evening mass,,,relig.,0,Abendmesse
Abendpfauenauge,ˈɑːbəntpfˌaʊənˌaʊɡə,eyed hawkmoth,,,zool.,0,
Abendröte,ˈɑːbəndɾˌøːtə,"sunset glow , red sunset",,,"meteo., poet.",0,Abendrot
Abendgymnasium,ˌɑːbəndɡymnˈɑziːˌʊm,"evening classes , night school",,,school,0,Abendschule
Abendsegler,ˈɑːbəndzˌɛɡlɜ,noctule bat,,,zool.,0,
Abendstern,ˈɑːbəntstɜn,evening star,,,astron.,0,
Abendstudium,ˌɑːbəntstˈuːdiːˌʊm,evening course,,,stud.,0,
Abendunterricht,ˈɑːbəndˌʊntɜrˌɪçt,night school,,,school,0,
eine besoffene Geschichte,ˌaɪnə bəzˈɔfənə ɡəʃˈɪçtə,a drunken escapade,,,ugs.,0,
Entziehung,ɛnttsˈiːʊŋ,"deprivation , deprival , denial , disallowance , disallowing",,,adm.,0,"Entzug, Aberkennung"
Aberregung von Atomen,Molekülen,de-exciting of atoms/molecules,,,phys.,0,
Abessinienkrieg,ˈɑbɛsˌiːniːŋkɾˌiːk,"Second Italo-Ethiopian War , Second Italo-Abyssinian War",,,"hist., mil.",0,
Abessiv,ˌɑbɛsˈiːf,"abessive case , abessive",,,ling.,0,
Abliegen,ˈaplˌiːɡən,"set-off , blotting",,,print,0,"Abfärben, Abschmieren"
Abfackelmast,ˈapfˌakəlmˌast,"flare conduit , flare",,,chem.,0,
Abfackeln,ˈapfˌakəln,flaring,,,chem.,0,Abfackelung
rasanter Skifahrer,razˈantɜ skˈiːfɑːrɜ,"schusser , schussboomer",,,sport,0,guter Abfahrer
Abfahrvorgang,ˈapfˌɑːɾfoːɾɡˌaŋ,shutdown procedure,,,techn.,0,
Abflug,ˈapflˌuːk,"departure dep.,  /dˈeːp/",,,transp.,1,Abfahrt
Abfahrtshocke,ˈapfˌɑːɾtshɔkə,downhill position,,,sport,0,
Abfahrtsrennen,ˈapfˌɑːɾtsrɛnən,"downhill ski run , downhill , downhill racing",,,sport,0,Abfahrtslauf
Abfahrtsläuferin,ˈapfˌɑːɾtslɔøfərˌɪn,downhill racer,,,sport,0,Abfahrtsläufer
Abflugzeit,ˈapflˌuːɡtsaɪt,"time of departure , departure time",,,transp.,0,"Abflugszeit, Abfahrtszeit"
Müll,mˈyl,"refuse , rubbish   , garbage   , trash",,,"Dt., Br., Ös.",1,"Mist, Güsel, Abfall"
Mist,mˈɪst,"refuse , rubbish   , garbage   , trash",,,"Br., Ös., Am.",0,"Kehricht, Müll, Güsel"
Kehricht,kˈeːrɪçt,"refuse , rubbish   , garbage   , trash",,,"Schw., Br., BW",0,"Mist, Müll, Güsel"
Güsel,ɡˈyːzəl,"refuse , rubbish   , garbage   , trash",,,"Schw., Br., Am.",0,"Mist, Müll, Abfall"
Müll,mˈyl,waste,,,envir.,0,Abfall
Abfall,ˈapfˌal,litter,,,herumliegender,0,Straßenabfall
Abfall,ˈapfˌal,versant,,,geogr.,1,
Ansteigen,ˈanʃtˌaɪɡən,slant,,,geogr.,0,Abfall
Renegatentum,rˈeːneːɡˌɑtəntˌuːm,apostasy,,,geh.,0,"Apostasie, Abfall vom Glauben, Abtrünnigkeit"
Apostasie,ˌɑpɔstazˈiː,apostasy,,,"relig., geh.",0,"Abfall vom Glauben, Renegatentum, Abtrünnigkeit"
fixieren,fɪksˈiːrən,"solidify , stabilize , fix , immobilize waste",,verb,envir.,0,"Abfall verfestigen, stabilisieren"
Schuttabladen,ʃˈʊtablˌɑːdən,"waste dumping , waste tipping",,,"Br., envir.",0,"Abfallablagerung, Müllablagerung"
Abfallanalytik,ˈapfˌalanˌɑːlˌyːtiːk,waste analytics,,,envir.,0,
Abfallart,ˈapfˌalaɾt,"type of waste , waste type",,,envir.,0,
Abfallbehandlung,ˈapfˌalbeːˌandlʊŋ,"refuse treatment , waste treatment",,,"envir., solid-",0,
Abfallaufbereitung,ˈapfˌalaʊfbˌeːraɪtˌʊŋ,waste processing,,,envir.,0,
Abfallaufbereitungsanlage,ˈapfˌalaʊfbˌeːraɪtʊŋsˌanlɑːɡə,"waste processing plant , waste recycling plant",,,envir.,0,
Müllbehälter,mˈylbeːˌɛltɜ,"waste receptacle , litter receptacle   , trash receptacle   , waste box",,,"Br., envir., Am.",0,Abfallbehälter
Abfallbelastung,ˈapfˌalbəlˌastʊŋ,"waste load , waste loading",,,envir.,0,
Entsorgungsunternehmen,ɛntzˈɔɾɡʊŋsˌʊntɜnˌeːmən,waste disposal company,,,envir.,0,"Abfallbeseitigungsfirma, Entsorgungsfirma, Entsorgungsfachbetrieb"
Abfallbeseitigungsgesetz,ˈapfˌalbeːzˌaɪtɪɡˌʊŋsɡəzˌɛts,Waste Disposal Act,,,jur.,0,
Abfallchemikalie,ˈapfˌalçeːmˌiːkalˌiː,waste chemical,,,envir.,0,
abfallender Verlauf,ˈapfˌaləndɜ fɛɾlˈaʊf,"decline , downgrade",,,"geogr., constr., Am.",0,"Abfallen, Gefälle"
Abfaller,ˈapfˌalɜ,drop dive,,,sport,0,
Mistkübel,mˈɪstkyːbəl,"container bin , waste bin   , kitchen bin",,,"Br., Ös.",0,"Abfallkübel, Müllkübel, Abfalleimer"
Müllkübel,mˈylkyːbəl,"container bin , waste bin   , kitchen bin",,,"Br., Ös.",0,"Mistkübel, Abfallkübel, Abfalleimer"
Kehrichteimer,kˈeːrɪçtˌaɪmɜ,"container bin , waste bin   , kitchen bin",,,"Schw., envir., Br.",0,"Mistkübel, Abfallkübel, Müllkübel"
Müllentsorgungsanlage,mˈyləntzˌɔɾɡʊŋsˌanlɑːɡə,"waste disposal facility , waste disposal plant",,,envir.,0,Abfallentsorgungsanlage
Abfallabgabe,ˈapfˌalabɡˌɑːbə,"waste disposal charge , waste disposal fee",,,Dt.,0,"Abfallentsorgungsgebühr, Abfallgebühr, Müllgebühr"
Müllgebühr,mˈylɡeːbˌyːɾ,"waste disposal charge , waste disposal fee",,,"adm., Ös., envir.",0,"Abfallabgabe, Abfallentsorgungsgebühr, Abfallgebühr"
Abfallfresser,ˈapfˌalfrɛsɜ,"detritivore , detritus feeder , detritus-feeding animal",,,zool.,0,
Abfallgesetz,ˈapfˌalɡeːzˌɛts,Waste Disposal Act,,,jur.,0,
Abfallgesetze,ˈapfˌalɡeːzˌɛtsə,waste legislation,,,jur.,0,Abfallgesetzgebung
Abfallgitter,ˈapfˌalɡɪtɜ,"waste skeleton , matrix",,,techn.,0,
Abfallkorb,ˈapfˌalkɔɾp,litter basket,,,"Br., envir.",0,
Abfallmaterial,ˈapfˌalmatˌeːriːˌɑːl,waste material,,,envir.,0,
Müllmenge,mˈylmɛŋə,"waste quantity , quantity of waste",,,envir.,0,Abfallmenge
Sammelsystem,zˈaməlzystˌeːm,"waste collection system , collection system",,,envir.,0,"Abfallsammelsystem, Müllsammelsystem"
Müllsammeltechniken,mˈylzamˌɛltɛçnˌɪkən,waste collection techniques,,,envir.,0,Abfallsammeltechniken
Müllsammlung,mˈylzamlˌʊŋ,"public waste collection , waste collection",,,envir.,0,öffentliche Abfallsammlung
Kämmlinge,kˈɛmlɪŋə,"silk waste , waste silk",,,textil.,0,"Abfallseide, Seidenabfallfasern, Seidenabfall"
Abfallstoffe,ˈapfˌalstɔfə,waste substances,,,envir.,0,
Abproduktnutzung,ˈappɾoːdˌʊktnʊtsˌʊŋ,"waste recycling , waste utilization , reuse of waste",,,envir.,0,"Abfallverwertung, Abfallrecycling, Abfallwiederverwertung"
Abfallbewirtschaftung,ˈapfˌalbeːvˌɪɾtʃaftˌʊŋ,waste management,,,envir.,0,Abfallwirtschaft
Abfallwirtschaftsberatung,ˈapfˌalvɪɾtʃˌaftsbeːrˌɑtʊŋ,"waste management counselling   , waste management counseling",,,"Br., envir., Am.",0,
Wertstoffhof,vˈɛɾtstɔfhˌoːf,"recycling centre   , recycling center   , recycling yard , household waste recycling centre / center   HWRC,  /hˌɑːvˌeːˌɛɾtsˈeː/ , civic amenity site , CA site",,,"Dt., Br., envir.",0,"Altstoffhof, Altstoffsammelstelle, Altstoffzentrum"
Abfallwirtschaftskapazitäten,ˈapfˌalvɪɾtʃˌaftskapˌɑtsiːtˌɛːtən,waste management capacities,,,envir.,0,
Abfallwirtschaftskonzept,ˈapfˌalvɪɾtʃˌaftskɔntsˌɛpt,waste management concept,,,envir.,0,
Abfangeinsatz,ˈapfˌaŋaɪnzˌats,"intercept , intercept mission",,,"aviat., mil.",0,
Abwerfen,ˈapvˌɛɾfən,line lockout,,,telco.,0,Abfangen
Abfangen und Ausschweben,ˈapfˌaŋən ʊnt ˈaʊsʃvˌeːbən,"flare-out , flattening-out",,,aviat.,0,
Abfangen,ˈapfˌaŋən,interception,,,mil.,2,
Abfangjagd,ˈapfˌaŋjɑːkt,interception,,,"aviat., mil.",0,
Abfangjäger,ˈapfˌaŋjɛːɡɜ,"interceptor aircraft , interceptor , intercepter",,,mil.,0,
Abfangklappe,ˈapfˌaŋklapə,recovery flap,,,aviat.,0,
Abfangtau,ˈapfˌaŋtaʊ,safety rope,,,mach.,0,
Abfangventil,ˈapfˌaŋvəntˌiːl,intercept valve,,,techn.,0,
Abferkelbereich,ˈapfˌɛɾkəlbərˌaɪç,farrowing area,,,agr.,0,
Abferkelbucht,ˈapfˌɛɾkəlbˌʊxt,"farrowing pen , sow stall",,,agr.,0,
Abferkelung,ˈapfˌɛɾkəlˌʊŋ,farrowing,,,agr.,0,Abferkeln
Abferkelstall,ˈapfˌɛɾkəlstˌal,farrowing house,,,agr.,0,
Kastenstand,kˈastənstˌant,"farrowing crate , gestation crate",,,agr.,0,Abferkelstand
die Federn,diː fˈeːdɜn,"springing , spring system",,,techn.,0,"Abfederung, Federsystem"
schnelle Erledigung,ʃnˈɛlə ɛɾlˈeːdɪɡˌʊŋ,dispatch,,,adm.,0,schnelle Abfertigung
Abfertigungsbüro für Fluggäste in der Stadt mit Flughafentransfer,ˈapfˌɛɾtɪɡˌʊŋsbyːrˌoː fyːɾ flˈuːɡɡɛstə ɪn dɛɾ ʃtˈat mɪt flˈuːɡhafˌɛntɾansfɜ,"downtown air terminal  , air terminal",,,"transp., Br.",0,
Abfertigungsbereich,ˈapfˌɛɾtɪɡˌʊŋsbərˌaɪç,"check-in hall , check-in area",,,aviat.,0,Abfertigungshalle
Abfeuerpunkt,ˈapfˌɔøɜpˌʊŋkt,shot point,,,mil.,0,
Abfeuerungsvorrichtung,ˈapfˌɔøərˌʊŋsfoːɾrˌɪçtʊŋ,"firing device , firing mechanism , trigger action",,,mil.,0,
goldener Händedruck,ɡˈɔldənɜ hˈɛndɛdɾˌʊk,golden handshake,,,"übtr., fig.",0,hohe Abfindung
Abflacher,ˈapflˌaxɜ,smoothing filter,,,electr.,0,Abflachschaltung
Abflachung,ˈapflˌaxʊŋ,flattening,,,math.,2,
Abflachung,Abplattung an den Polen,oblateness,,,math.,0,
Glätt…,ɡlˈɛt,smoothing …,,,electr.,0,"Glättungs…, Abflachungs…"
Abflug- und Landeplatz,ˈapflˌuːk ʊnt lˈandɛplˌats,pad,,,aviat.,0,
Abfluganweisungen,ˈapflˌuːɡanvˌaɪzʊŋən,departure instructions,,,aviat.,0,
Abflugfreigabe,ˈapflˌuːɡfraɪɡˌɑːbə,departure clearance,,,aviat.,0,
Abflugbereich,ˈapflˌuːɡbərˌaɪç,"departure lounge , departure hall , departure concourse , departure area",,,aviat.,0,Abflughalle
Abflugkurs über Grund,ˈapflˈuːɡkˌuːɾs ˌyːbɜ ɡɾˈʊnt,outbound track,,,aviat.,0,
Abflugpunkt,ˈapflˌuːɡpʊŋkt,take-off position,,,aviat.,0,
Abflugraster,ˈapflˌuːɡɾastɜ,slot,,,aviat.,0,
Abflugsektor,ˈapflˌuːɡzˌɛktoːɾ,take-off climb area,,,aviat.,0,
Abflugort,ˈapflˌuːɡɔɾt,"location of departure , departure point , point of departure",,,aviat.,0,Abflugsort
Abflugstrecke,ˈapflˌuːɡstɾɛkə,departure route,,,aviat.,0,
Abflugteil,ˈapflˌuːɡtaɪl,departure leg,,,aviat.,0,
Abflugterminal,ˈapflˈuːɡtɜmiːnˌɑːl,departure terminal,,,aviat.,0,
Abflugverfahren,ˈapflˌuːɡfɛɾfˌɑːrən,departure procedure,,,aviat.,0,
Abflugzone,ˈapflˈuːɡtsˌoːnə,departure zone,,,aviat.,0,
abfließendes Wasser,ˈapflˌiːsəndəs vˈasɜ,effluent,,,envir.,0,Abfluss
Abfluss,ˈapflˌʊs,"run-off , runoff , flow",,,envir.,2,
Abfluss,ˈapflˌʊs,"outward flow , outflow",,,econ.,2,
Abflussbildung,ˈapflˌʊsbɪldˌʊŋ,"run-off formation , runoff formation",,,envir.,0,
Abflussdaten,ˈapflʊsdˌɑːtən,"discharge data, streamflow data, flow data",,,envir.,0,
Abflussdauerlinie,ˈapflˌʊsdaʊɜlˌiːnɪə,"discharge duration curve , flow duration curve",,,envir.,0,Abflussdauerkurve
Abflussfaktor,ˈapflʊsfˌaktoːɾ,runoff coefficient,,,envir.,0,
Abflusshindernisse,ˈapflˌʊshɪndɜnˌɪsə,flow obstruction,,,envir.,1,Abflusshindernis
Abflussjahr,ˈapflˌʊsjɑːɾ,"water year , hydrological year",,,envir.,0,
Abflusskanal,ˈapflˌʊskanˌɑːl,"drain channel , catch drain , side channel , effluent channel",,,constr.,0,
Abflussfaktor,ˈapflʊsfˌaktoːɾ,"run-off coefficient , runoff coefficient , discharge coefficient",,,envir.,0,"Abflusskoeffizient, Abflussbeiwert, Abflusskennzahl"
Abflusskurve,ˈapflˌʊsk??və,"discharge-rating curve , discharge curve , stage-discharge curve",,,envir.,0,Abflussmengenkurve
Abflussmessnetz,ˈapflˌʊsmɛsnˌɛts,discharge measurement network,,,envir.,0,
Abflussmessung,ˈapflˌʊsmɛsˌʊŋ,"discharge measurement/gauging , streamflow measurement/gauging , flow measurement , stream gauging",,,envir.,0,
höchster Abflusswert,hˈœkstɜ ˈapflˌʊsveːɾt,peak run-off,,,envir.,0,"Abflussspitze, Spitzenabfluss, Abflussextrem"
Abfluss,ˈapflˌʊs,outlet,,,geogr.,1,Abflussstelle
Abflussregime,ˈapflˌʊsreːɡˌiːmə,"discharge pattern , discharge regime",,,envir.,0,
Abflusstabelle,ˈapflˌʊsʃtabˌɛlə,discharge table,,,envir.,0,
Fließtiefe,flˈiːstiːfə,"depth of flow , flow depth",,,envir.,0,Abflusstiefe
Abflussverhalten,ˈapflˌʊsfɜhˌaltən,"run-off/runoff characteristics , run-off/runoff conditions",,,envir.,0,
Durchflusskapazität,d??çflˌʊskapˌɑːtsiːtˈɛːt,"water-carrying capacity , discharge capacity , channel capacity , hydraulic capacity",,,envir.,0,"Abflussvermögen, Durchflussvermögen, Abflusskapazität"
Abflussverzögerung,ˈapflˌʊsfɜtsˌøːɡərˌʊŋ,flow retardation,,,envir.,0,
Wasserfracht,vˈasɜfrˌaxt,"run-off/runoff volume , cumulative run-off/runoff , total discharge",,,envir.,0,"Abflussfracht, Abflussvolumen, Abflusssumme"
Abflussprognose,ˈapflˌʊspɾɔɡnˌoːzə,"streamflow forecast , flow forecast , discharge forecast , discharge prediction",,,envir.,0,Abflussvorhersage
Abformen,ˈapfˌɔɾmən,"moulding   , molding",,,"Br., Am., techn.",0,
Nachguss,nˈaxɡʊs,second cast,,,techn.,0,Abformung
Abfrage,ˈapfrˌɑːɡə,"query , interrogation",,,comp.,1,
Abfrage,ˈapfrˌɑːɡə,request,,,comp.,1,
Abfragebefehl,ˈapfrˌɑɡeːbˌeːfeːl,interrogation command,,,"comp., telco.",0,
Abfragebetrieb,ˈapfrˌɑɡeːbˌɛtɾiːp,ring down junction,,,telco.,0,
Abfragedatum,ˈapfrˌɑɡeːdˌɑtuːm,date of query,,,comp.,0,
Abfrageeditor,ˈapfrˌɑɡeːdˌiːtoːɾ,query editor,,,comp.,0,
Abfrageergebnis,ˈapfrˌɑɡeːɾɡˌɛbnɪs,query result,,,comp.,0,
Abfragefenster,ˈapfrˌɑɡeːfˌɛnstɜ,query window,,,comp.,0,
Abfragefolge,ˈapfrˌɑɡeːfˌɔlɡə,interrogation sequence,,,techn.,0,
Abfragefrequenz,ˈapfrˌɑɡɛfreːkvˌɛnts,interrogation frequency,,,"techn., telco.",0,
Abfrageimpuls,ˈapfrˌɑɡaɪmpˌuːls,read impulse,,,comp.,0,
Abfrageimpulspaar,ˈapfrˌɑɡaɪmpˌʊlspɑːɾ,interrogation pulse pair,,,techn.,0,
Abfragegerät,ˈapfrˌɑɡeːɡərˌɛːt,"query station , inquiry station , retrieval terminal",,,comp.,0,"Abfragestation, Abfrageendgerät, Abfrageplatz"
Abfragequote,ˈapfrˌɑɡeːkvˌoːtə,recall,,,comp.,0,
Abrufsystem,ˈapɾˌʊfzystˌeːm,retrieval system,,,comp.,1,Abfragesystem
Abfühler-Stanzer-Freigabe,ˈapfˌyːlɜ ʃtˈantsɜ frˈaɪɡɑːbə,read/punch release,,,"comp., hist.",0,
Laxativ,lˌaksatˈiːf,laxative,,,"med., pharm.",0,"Abführmittel, Laxans"
Abführmittel,ˈapfˌyːɾmɪtəl,"cathartic medicine , cathartic",,,med.,0,
Abführung,ˈapfˌyːrʊŋ,payment,,,fin.,0,
Abführung von Steuern,ˈapfˌyːrʊŋ fɔn ʃtˈɔøɜn,payment of taxes,,,fin.,0,
Abführung,ˈapfˌyːrʊŋ,eduction,,,techn.,0,
Abfüllpumpe,ˈapfˌylpʊmpə,decanting pump,,,cook.,0,
Korb,kˈɔɾp,rejection,,,ugs.,2,Abfuhr
Steuer,ʃtˈɔøɜ,tax,,,fin.,0,Abgabe
Abgabe,ˈapɡˌɑːbə,"duty   , charge , levy , tariff , impost , imposition",,,"staatliche, government",2,"Gebühr, Finanzabgabe"
Gebühr,ɡəbˈyːɾ,"duty   , charge , levy , tariff , impost , imposition",,,"adm., government",0,"Abgabe, Finanzabgabe"
Stempelabgabe,ʃtˈɛmpəlˌabɡɑːbə,stamp duty,,,Schw.,0,
Abgabe pro Pfund Sterling,ˈapɡˌɑːbə pɾoː pfˈʊnt ʃtˈɛɾlɪŋ,poundage,,,fin.,0,
Abgabenüberhebung,ˈapɡˌɑːbənˌyːbɜhˌeːbʊŋ,"tax overcharging , levying of excessive taxes/taxation/charges",,,jur.,0,
Abgabenbefreiung,ˈapɡˌɑːbənbəfrˌaɪʊŋ,"exemption from duties , immunity from duties",,,fin.,0,
durch Sozialabgaben bedingte Diskrepanz zwischen Brutto- und Nettolohn,d??ç zˈoːtsiːˌɑlabɡˌɑːbən bədˈɪŋtə dˈɪskɾeːpˌants tsvˈɪʃən bɾˈʊtoː ʊnt nˈɛtoːlˌoːn,wage wedge,,,"fin., pol.",0,Abgabenbelastung
Abgabenberechnung,ˈapɡˌɑːbənbərˌɛçnʊŋ,calculation of taxes,,,fin.,0,
Abgang,ˈapɡˌaŋ,dismount,,,sport,0,
abnibbeln,ˈapnˌɪbəln,"conk out , turn up your toes , kick the bucket, to bite the dust , go west   , buy it   , buy the farm",,verb,"Nordostdt., Br., Mitteldt.",0,"die Patschen strecken / aufstellen, abserbeln, den/einen Abgang machen"
die Patschen strecken,aufstellen,"conk out , turn up your toes , kick the bucket, to bite the dust , go west   , buy it   , buy the farm",,verb,"Br., Ös., Am.",0,"abserbeln, den/einen Abgang machen, den Löffel abgeben"
bachab gehen,bˈaxɑːp ɡˈeːən,"conk out , turn up your toes , kick the bucket, to bite the dust , go west   , buy it   , buy the farm",,verb,"Schw., Br., Am.",0,"die Patschen strecken / aufstellen, abserbeln, den/einen Abgang machen"
abgehen,ˈapɡˌeːən,"conk out , turn up your toes , kick the bucket, to bite the dust , go west   , buy it   , buy the farm",,verb,"Schw., Br., Am.",0,"die Patschen strecken / aufstellen, abserbeln, den/einen Abgang machen"
abserbeln,ˈapzɜbəln,"conk out , turn up your toes , kick the bucket, to bite the dust , go west   , buy it   , buy the farm",,verb,"Schw., Am., Br.",0,"die Patschen strecken / aufstellen, den/einen Abgang machen, den Löffel abgeben"
Abgangsfehler,ˈapɡˌaŋsfeːlɜ,angle jump,,,mil.,0,
Abgangsfehlerwinkel,ˈapɡˌaŋsfeːlɜvˌɪnkəl,angle of jump,,,mil.,0,
Abgangsflughafen,ˈapɡˌaŋsflʊkhˌɑːfən,airport of departure,,,aviat.,0,
nukleofuge Gruppe,nˈʊkleːˌoːfuːɡə ɡɾˈʊpə,"leaving group , nucleofuge group , nucleofuge",,,biochem.,0,"Abgangsgruppe, abgehende Gruppe"
Abfahrtshafen,ˈapfˌɑːɾtshɑːfən,port of departure,,,"transp., naut.",0,Abgangshafen
Abgangsprozess,ˈapɡˌaŋʃpɾoːtsˌɛs,departure process,,,statist.,0,
Abgangsrichtung eines Geschosses,ˈapɡˌaŋsrɪçtˌʊŋ ˌaɪnəs ɡəʃˈɔsəs,direction of departure of a projectile,,,mil.,0,
Abgangswelle,ˈapɡaŋsvˌɛlə,output shaft,,,techn.,0,
Abgangswinkel eines Geschosses,ˈapɡˌaŋsvɪnkəl ˌaɪnəs ɡəʃˈɔsəs,angle of departure of a projectile,,,mil.,0,
Abluftfahne,ˈaplˌʊftfˌɑːnə,plume,,,envir.,0,Abgasfahne
Kat,kˈɑːt,"exhaust gas catalytic converter , catalytic converter , converter , catalyser",,,"auto, Br.",0,"Abgaskatalysator, Katalysator"
Abgasmeßstrecke,ˈapɡˌasmɛsstɾˌɛkə,flue gas test section,,,alt,0,Abgasmessstrecke
Abgasnorm,ˈapɡˌasnɔɾm,exhaust emission standard,,,"auto, envir.",0,
Abgasrückführungsventil,ˈapɡˌasrykfˌyːrʊŋsvəntˌiːl,exhaust gas regulation valve,,,auto,0,
Abluftschalldämpfer,ˈaplˌʊftʃˌaldɛmpfɜ,"exhaust gas silencer , exhaust gas sound attenuator , exhaust muffler",,,techn.,0,Abgasschalldämpfer
Abgassonderuntersuchung,ˈapɡˌasɔndˌeːrʊntɜzˌuːxʊŋ,exhaust emission inspection,,,auto,0,
Abgastest,ˈapɡˌastəst,emission test,,,envir.,0,
Abgastest,ˈapɡˌastəst,exhaust gas test,,,"auto, envir.",0,
Abgasturboaufladung,ˈapɡˌast??bˌoːaʊflˌɑdʊŋ,turbo charging,,,auto,0,
Abgasturbolader,ˈapɡˌast??bˌoːlɑːdɜ,exhaust gas turbocharger,,,auto,0,
Abgasuntersuchung,ˈapɡˌɑzʊntɜzˌuːxʊŋ,"exhaust gas test , emission test , emissions test/control",,,auto,0,
Abgasverlust,ˈapɡˌasfɜlˌʊst,flue gas loss,,,techn.,0,
Rauchgaswäscher,rˈaʊxɡasvˌɛʃɜ,flue gas scrubber,,,techn.,0,Abgaswäscher
Hochtreiben des Auktionspreises,hˈoːxtɾˌaɪbən dɛs ˈaʊktsjˌoːnʃpɾaɪzəs,"by-bidding, bidding up",,,econ.,0,Abgeben von Scheingeboten
finanzielle Entschädigung,fˌiːnantsjˈɛlə ɛntʃˈɛːdɪɡˌʊŋ,payment in lieu,,,fin.,0,finanzielle Abgeltung
die Frau Abgeordnete,diː frˈaʊ ˈapɡəˌɔɾdnətə,the gentlewoman,,,"pol., Am.",0,
Abgeordnetenkammer,ˈapɡəˌɔɾdneːtˌɛnkamɜ,House of Representatives,,,pol.,0,Abgeordnetenhaus
Abgeordnetenkammer,ˈapɡəˌɔɾdneːtˌɛnkamɜ,"chamber of deputies , parliament",,,pol.,0,
Abgeordnetenmandat,ˈapɡəˌɔɾdneːtˌɛnmandˌɑːt,parliamentary mandate,,,pol.,0,
Abgeordnetenversammlung,ˈapɡəˌɔɾdneːtˌɛnfɜzˌamlʊŋ,diet,,,pol.,0,
Abgesang,ˈapɡəzˌaŋ,farewell,,,übtr.,0,
Entlegenheit,ɛntlˈeːɡənhˌaɪt,"seclusion , remoteness",,,geogr.,0,Abgeschiedenheit
Abgeschlossenheit einer Menge,ˈapɡəʃlˌɔsənhˌaɪt ˌaɪnɜ mˈɛŋə,closure of a set,,,math.,0,
Abgeschlossenheitsrelation,ˈapɡəʃlˌɔsənhˌaɪtsrəlatsjˌoːn,"closure relation , completeness relation",,,math.,0,
Schlappheit,ʃlˈapfaɪt,sluggishness,,,med.,0,"Abgespanntheit, Abgeschlagenheit"
Abgleichbohle,ˈapɡlˌaɪçboːlə,"screed , floating screed",,,constr.,0,
Abgleichkondensator,ˈapɡlˌaɪçkɔndənzˌɑtoːɾ,balancing capacitor,,,electr.,0,
Abgleichwiderstand,ˈapɡlˌaɪçviːdɜstˌant,"balancing resistor , adjustable resistor , trimming resistor",,,electr.,0,
Götze,ɡˈœtsə,idol,,,"relig., pej.",1,Abgott
Königsboa,kˈøːnɪçsbˌoːɑː,"common boa , red-tailed boa",,,zool.,0,"Abgottboa, Abgottschlange, Königsschlange"
Abgriff,ˈapɡɾˌɪf,"sensing , picking-off",,,electr.,0,Abgreifen
Demarkation,dˌeːmaɾkatsjˈoːn,"delimitation , demarcation",,,geh.,0,"Abgrenzung, Begrenzung, Ausscheidung"
Ausscheidung,ˈaʊsʃˌaɪdʊŋ,"delimitation , demarcation",,,"Schw., geogr.",1,"Abgrenzung, Demarkation, Begrenzung"
Begriffsabgrenzung,bəɡɾˈɪfzabɡɾˌɛntsʊŋ,conceptual delimitation,,,"phil., ling.",0,begriffliche Abgrenzung
Anzapfvorrichtung,ˈantsˌapffoːɾrˌɪçtʊŋ,"tap , listening device",,,"electr., telco.",0,Abgriff
Schlund,ʃlˈʊnt,"abyss , abysm   , gulf",,,poet.,1,Abgrund
Gussform,ɡˈʊsfɔɾm,"cast , impression",,,techn.,0,Abguss
Sucht,zˈuːxt,addiction,,,"med., psych.",1,"Süchtigkeit, Abhängigkeit"
Abhängigkeit,ˈaphˌɛŋɪçkˌaɪt,subordination,,,ling.,0,
Abhängung,ˈaphˌɛŋʊŋ,suspension,,,constr.,0,
Abhängungsstab,ˈaphˌɛŋʊŋsʃtˌɑːp,suspension rod,,,constr.,0,
