English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
amortisation rule,ɐmˌɔːtaɪzˈeɪʃən ɹˈuːl,Abschreibungsregel,feminine,,Br.,0,amortization rule
amortization record,ɐmˌɔːtaɪzˈeɪʃən ɹˈɛkɔːd,Abschreibungssatz,masculine,,eAm.,0,amortisation record
amortisation record,ɐmˌɔːtaɪzˈeɪʃən ɹˈɛkɔːd,Abschreibungssatz,masculine,,Br.,0,amortization record
amortization code,ɐmˌɔːtaɪzˈeɪʃən kˈəʊd,Abschreibungsschlüssel,masculine,,eAm.,0,amortisation code
amortisation code,ɐmˌɔːtaɪzˈeɪʃən kˈəʊd,Abschreibungsschlüssel,masculine,,Br.,0,amortization code
amortization cancelation,ɐmˌɔːtaɪzˈeɪʃən kˌansɪlˈeɪʃən,Abschreibungsstornierung,feminine,,eAm.,0,amortisation cancellation
amortisation cancellation,ɐmˌɔːtaɪzˈeɪʃən kˌansɪlˈeɪʃən,Abschreibungsstornierung,feminine,,Br.,0,amortization cancelation
amortization value,ɐmˌɔːtaɪzˈeɪʃən vˈaljuː,Abschreibungswert,masculine,,eAm.,0,amortisation value
amortisation value,ɐmˌɔːtaɪzˈeɪʃən vˈaljuː,Abschreibungswert,masculine,,Br.,0,amortization value
amortisation period,ɐmˌɔːtaɪzˈeɪʃən pˈiəɹɪəd,"Abschreibungszeitraum , Abschreibungsperiode , Abschreibungsdauer",masculine,,"Br., fin.",0,amortization period
exemplified copy,ɛɡzˈɛmplɪfˌaɪd kˈɒpɪ,beglaubigte Abschrift,,,Am.,0,"certified copy, attested copy"
estreat,ˈɛstɹiːt,beglaubigte Abschrift eines Gerichtsprotokolls,,,"Br., jur.",0,
kill,kˈɪl,Abschuss,masculine,,"coll., mil.",0,
discharge,dɪstʃˈɑːdʒ,"Abschuss , Abschießen , Abfeuern",masculine,,"mil., formal",0,firing
be for the chop,biː fəðə tʃˈɒp,auf der Streichliste stehen,,,Br.,0,be on the chopping block
be on the chopping block,biː ɒnðə tʃˈɒpɪŋ blˈɒk,auf der Streichliste stehen,,,Am.,0,be for the chop
abseiling,ˈabseɪlɪŋ,Abseilen,neuter,,Br.,2,rappeling
rappeling,ɹˈapəlɪŋ,Abseilen,neuter,,Am.,2,abseiling
abseiler,ˈabseɪlə,"Abseiler , Abseilender",masculine,,Br.,0,"rappeller, descender"
rappeller,ɹˈapələ,"Abseiler , Abseilender",masculine,,Am.,0,"abseiler, descender"
abseiling equipment,ˈabseɪlɪŋ ɪkwˈɪpmənt,Abseilgerät,neuter,,"Br., sport",0,rappelling equipment
rappelling equipment,ɹˈapəlɪŋ ɪkwˈɪpmənt,Abseilgerät,neuter,,"sport, Am.",0,abseiling equipment
abseil,ˈabseɪl,Abseilpartie,feminine,,Br.,1,rappel
rappel,ɹapˈɛl,Abseilpartie,feminine,,Am.,1,abseil
carriageway subsidence,kˈaɹɪdʒwˌeɪ sˈʌbsɪdəns,Fahrbahnsenkung,feminine,,Br.,0,roadway subsidence
roadway subsidence,ɹˈəʊdweɪ sˈʌbsɪdəns,Fahrbahnsenkung,feminine,,Am.,0,carriageway subsidence
shrive sb.,ʃɹˈaɪv ˌɛsbˈiː,jdm. die Absolution erteilen,,,dated,0,
alum,ˈaləm,"Absolvent , Absolventin , Ehemaliger   , Ehemalige",masculine,,"stud., Am., coll.",0,"alumnus, alumna"
graduate,ɡɹˈadjuːət,Absolvent,masculine,,"school, stud., Am.",0,
cumshot,kˈʌmʃɒt,Abspritzen,neuter,,slang,0,spaffing
spaffing,spˈafɪŋ,Abspritzen,neuter,,"Br., slang",0,cumshot
descendance,dɪsˈɛndəns,"Abstammung , Abkunft",feminine,,"archaic, geh., soc.",0,"descent, lineage, ancestry"
descendancy,dɪsˈɛndənsi,"Abstammung , Abkunft",feminine,,"archaic, geh., soc.",0,"descent, lineage, ancestry"
descendency,dɪsˈɛndənsi,"Abstammung , Abkunft",feminine,,"soc., archaic, geh.",0,"descent, lineage, ancestry"
desist from sth.,dɪsˈɪst fɹɒm ˌɛstˌiːˈeɪtʃ,"von etw. Abstand nehmen, von etw. absehen , etw. unterlassen",,,"adm., formal",1,refrain from sth.
contact avoidance,kˈɒntakt ɐvˈɔɪdəns,"soziales Abstandhalten , Kontaktvermeidung   , Vermeidung / Einschränkung sozialer Kontakte",feminine,,"med., soziale, social",0,social distancing
range discrimination,ɹˈeɪndʒ dɪskɹˌɪmɪnˈeɪʃən,"Abstandsunterscheidung , Entfernungsauflösungsvermögen , Entfernungsauflösung",feminine,,Br.,0,range resolution
range resolution,ɹˈeɪndʒ ɹˌɛzəlˈuːʃən,"Abstandsunterscheidung , Entfernungsauflösungsvermögen , Entfernungsauflösung",feminine,,Am.,0,range discrimination
sortie,sˈɔːti,Abstecher,masculine,,Br.,0,side trip
dosshouse,dˈɒshaʊs,"Absteige   , Penne",feminine,,"Dt., Br., veraltend",0,flophouse
flophouse,flˈɒfaʊs,"Absteige   , Penne",feminine,,"Dt., veraltend, billige",0,dosshouse
put sb. in a backwater,pˌʊt ˌɛsbˈiː ɪn ɐ bˈakwɔːtə,aufs Abstellgleis geschoben werden,,,"übtr., fig.",0,
tow lot,tˈəʊ lˈɒt,Abstellplatz,masculine,,Am.,0,
box room,bˈɒks ɹˈuːm,"Abstellraum , Réduit",masculine,,"Br., Schw.",0,storeroom
division bell,dɪvˈɪʒən bˈɛl,Abstimmungsglocke,feminine,,Br.,0,
pushing-off of wagons,pˈʊʃɪŋ ˈɒf ɒv wˈaɡənz,"Abstoßbetrieb , Abstoßen von Wagen, Stoß",masculine,,"Br., Schw.",0,"fly shunting, fly switching"
divestiture,daɪvˈɛstɪtʃə,"Abstoßen von Unternehmensteilen, Entflechtung",feminine,,"econ., Am.",0,"divestment, divesture"
divesture,daɪvˈɛstʃə,"Abstoßen von Unternehmensteilen, Entflechtung",feminine,,"econ., Am.",0,"divestment, divestiture"
mouldboard,mˈəʊldbɔːd,"Abstreichblech , Streichblech",neuter,,"Br., agr.",0,"plough board, plow breast, plow board"
moldboard,mˈəʊldbɔːd,"Abstreichblech , Streichblech",neuter,,"agr., Am.",0,"plough board, plow breast, plow board"
plough board,plˈaʊ bˈɔːd,"Abstreichblech , Streichblech",neuter,,"Br., agr.",0,"plow breast, plow board, mouldboard"
plow board,plˈaʊ bˈɔːd,"Abstreichblech , Streichblech",neuter,,"agr., Am.",0,"plough board, plow breast, mouldboard"
plough breast,plˈaʊ bɹˈɛst,"Abstreichblech , Streichblech",neuter,,"Br., agr.",0,"plough board, plow breast, plow board"
plow breast,plˈaʊ bɹˈɛst,"Abstreichblech , Streichblech",neuter,,"agr., Am.",0,"plough board, plow board, mouldboard"
colour gradation,kˈʌlə ɡɹeɪdˈeɪʃən,"Abstufung , Farbabstufung , Farbnuance",feminine,,Br.,0,"shade, color gradation, color shade"
color gradation,kˈʌlə ɡɹeɪdˈeɪʃən,"Abstufung , Farbabstufung , Farbnuance",feminine,,Am.,0,"shade, colour gradation, color shade"
dishrag,dˈɪʃɹaɡ,"Abwaschtuch , Abwaschlappen",masculine,,Am.,0,dishcloth
sewage clarification,sˈuːɪdʒ klˌaɹɪfɪkˈeɪʃən,"Abwasserreinigung , Abwasserklärung",feminine,,"envir., rare",0,sewage purification
defence,dɪfˈɛns,Abwehr,feminine,,Br.,0,defense
defense,dɪfˈɛns,Abwehr,feminine,,Am.,0,defence
defence,dɪfˈɛns,Abwehr,feminine,,Br.,6,defense
defense,dɪfˈɛns,Abwehr,feminine,,Am.,3,defence
defence,dɪfˈɛns,"Abwehr , Verteidigung",feminine,,"Br., sport",3,defense
defense,dɪfˈɛns,"Abwehr , Verteidigung",feminine,,"sport, Am.",3,defence
play defense,plˈeɪ dɪfˈɛns,in der Abwehr/Verteidigung spielen,,,Am.,0,
body's defense,bˈɒdi ˈɛs dɪfˈɛns,Abwehrkraft des Körpers,,,Am.,1,body's defence
defence system,dɪfˈɛns sˈɪstəm,Abwehrsystem,neuter,,"Br., mil.",0,defense system
defense system,dɪfˈɛns sˈɪstəm,Abwehrsystem,neuter,,"mil., Am.",1,defence system
colour deviation,kˈʌlə dˌiːvɪˈeɪʃən,Farbabweichung,feminine,,Br.,0,color deviation
color deviation,kˈʌlə dˌiːvɪˈeɪʃən,Farbabweichung,feminine,,Am.,0,colour deviation
curator absentis,kjʊəɹˈeɪtəɹ absˈɛntiz,Abwesenheitspfleger,masculine,,"jur., Am.",0,curator for an absent person
organisation,ˌɔːɡɐnaɪzˈeɪʃən,Abwicklung,feminine,,"adm., Br.",0,organization
till the cow comes home,tˈɪl ðə kˈaʊ kˈʌmz hˈəʊm,bis zum Abwinken,,,"übtr., fig.",0,
scrappage scheme,skɹˈapɪdʒ skˈiːm,Abwrackkampagne,feminine,,"Br., pol.",0,cash-for-clunkers program
cash-for-clunkers program,kˈaʃ fɔː klˈʌŋkəz pɹˈəʊɡɹam,Abwrackkampagne,feminine,,"pol., Am.",0,scrappage scheme
scrapping bonus,skɹˈapɪŋ bˈəʊnəs,Abwrackprämie,feminine,,car,0,
shed antlers,ʃˈɛd ˈantləz,Abwurfstangen,,plural,"hunters' parlance, Jägersprache",0,
decal,dɪkˈal,"Abziehbild , Aufkleber",masculine,,Am.,0,
snapshot,snˈapʃɒt,"Instantanspeicherabzug , Instantanspeicherauszug",masculine,,coll.,0,snapshot dump
acetate fibre,ˈasɪtˌeɪt fˈaɪbə,Acetatfaser,feminine,,"Br., textil.",0,acetate fiber
acetate fiber,ˈasɪtˌeɪt fˈaɪbə,Acetatfaser,feminine,,"textil., Am.",0,acetate fibre
Get out of town!,ɡɛt ˌaʊtəv tˈaʊn,"Ach komm!, Ach komm, jetzt aber (wirklich)!, Ach hör doch auf!",,,Am.,0,"Get out of here!, Get out!"
Achilles' heel,ɐkˈɪliːz hˈiːl,"Achillesferse   , wunder Punkt, Schwachstelle",feminine,,"übtr., fig.",0,weak spot
oxter,ˈɒkstə,"Achselhöhle , Achsel",feminine,,"Sc., anat.",0,"axilla, pit, armpit"
axle casing,ˈaksəl kˈeɪsɪŋ,Achsgehäuse,neuter,,Br.,0,axle housing
axle housing,ˈaksəl hˈaʊzɪŋ,Achsgehäuse,neuter,,Am.,0,axle casing
axle-kilometre,ˈaksəl kˈɪləmˌiːtə,Achskilometer,masculine,,Br.,0,axle-kilometer
axle-kilometer,ˈaksəl kɪlˈɒmɪtə,Achskilometer,masculine,,Am.,0,axle-kilometre
octangle,ˈɒktaŋɡəl,"Achteck , Oktagon , Oktogon",neuter,,"math., rare",0,octagon
quaver,kwˈeɪvə,"Achtelnote , Achtel",feminine,,"Br., mus.",0,eighth note
eighth note,ˈeɪtθ nˈəʊt,"Achtelnote , Achtel",feminine,,"mus., Am.",1,quaver
quaver rest,kwˈeɪvə ɹˈɛst,Achtelpause,feminine,,"Br., mus.",0,eighth note rest
eighth note rest,ˈeɪtθ nˈəʊt ɹˈɛst,Achtelpause,feminine,,"mus., Am.",1,quaver rest
eight-pointer,ˈeɪt pˈɔɪntə,"Achtender , Achter",masculine,,"hunters' parlance, Jägersprache, zool.",1,"eight-point elk, eight-point stag"
big dipper,bˈɪɡ dˈɪpə,"Achterbahn , Hochschaubahn",feminine,,"dated, Br., Ös.",0,roller coaster
seesaw,sˈiːsɔː,Achterbahn,feminine,,"übtr., fig.",1,
figure eight,fˈɪɡəɹ ˈeɪt,"Achterknoten , Abseilachter",masculine,,"coll., ugs.",1,"figure-of-eight knot, figure eight knot"
Ten-hut!,tˈɛn hˈʌt,"Stillgestanden!, Habt Acht!  , Achtung steht!",,,"slang, Ös., mil.",0,A-ten-hut!
A-ten-hut!,ɐ tˈɛn hˈʌt,"Stillgestanden!, Habt Acht!  , Achtung steht!",,,"slang, Ös., mil.",0,Ten-hut!
under-eighteen-year-olds,ˌʌndəɹ ˈeɪtiːn jˈiəɹ ˈəʊldz,"die Unter-Achtzehnjährigen, die Unter-18-jährigen",,,the,0,"under-eighteens, under 18-year-olds"
under 18-year-olds,ˌʌndəɹ ˈeɪtiːn jˈiəɹ ˈəʊldz,"die Unter-Achtzehnjährigen, die Unter-18-jährigen",,,the,0,"under-eighteen-year-olds, under-eighteens"
under-eighteens,ˌʌndəɹ ˈeɪtiːnz,"die Unter-Achtzehnjährigen, die Unter-18-jährigen",,,the,0,"under-eighteen-year-olds, under 18-year-olds"
crop farming,kɹˈɒp fˈɑːmɪŋ,Ackerbau,masculine,,"agr., Am.",0,"crop raising, cultivation of arable land"
ploughland,plˈaʊlənd,"Ackerboden , Ackerland , Bauernerde",masculine,,"Br., poet., agr.",0,"arable soil, plowland, arable land"
plowland,plˈaʊlənd,"Ackerboden , Ackerland , Bauernerde",masculine,,"agr., poet., Am.",0,"arable soil, arable land, ploughland"
front wheel tractor tire,fɹˈʌnt wˈiːl tɹˈaktə tˈaɪə,Ackerschlepperfrontreifen,masculine,,Am.,1,"tractor front tyre, tractor front tire, front wheel tractor tyre"
tractor front tire,tɹˈaktə fɹˈʌnt tˈaɪə,Ackerschlepperfrontreifen,masculine,,Am.,1,"front wheel tractor tire, tractor front tyre, front wheel tractor tyre"
tractor rear tire,tɹˈaktə ɹˈiə tˈaɪə,Ackerschlepperhinterradreifen,masculine,,Am.,1,tractor rear tyre
sweeper,swˈiːpə,"Ackerschleife , Ackerschleppe",feminine,,"agr., Am.",0,"clod crusher, leveller"
tractor tire,tɹˈaktə tˈaɪə,Ackerschlepperreifen,masculine,,Am.,0,tractor tyre
farm truck,fˈɑːm tɹˈʌk,Ackerwagen,masculine,,"agr., Am.",0,"farm gear, farm wagon"
farm gear,fˈɑːm ɡˈiə,Ackerwagen,masculine,,"agr., Am.",0,"farm truck, farm wagon"
implement tyre,tire,Ackerwagen- und -maschinenreifen,masculine,,Am.,0,
agricultural trailer tire,ˌaɡɹɪkˈʌltʃəɹəl tɹˈeɪlə tˈaɪə,Ackerwagenreifen,masculine,,Am.,1,agricultural trailer tyre
action film,ˈakʃən fˈɪlm,Actionfilm,masculine,,Br.,0,"actioner, action movie"
action movie,ˈakʃən mˈuːvi,Actionfilm,masculine,,Am.,0,"actioner, action film"
acclimation,ɐklaɪmˈeɪʃən,Adaption,feminine,,"biol., field",0,adaption
totalizer,tˈəʊtəlˌaɪzə,"Addierer , Addierwerk , Zählwerk , Summierzählwerk",masculine,,"eAm., techn.",0,"adder, totaliser"
totaliser,tˈəʊtəlˌaɪzə,"Addierer , Addierwerk , Zählwerk , Summierzählwerk",masculine,,"Br., techn.",0,"adder, totalizer"
gentry,dʒˈɛntɹi,niederer Adel,,,Br.,1,
peerage,pˈiəɹɪdʒ,"Peerswürde , Adelsstand",masculine,,"Br., höherer",1,
the Peerage,ðə pˈiəɹɪdʒ,die Peers,,,Br.,0,
core,kˈɔː,Ader,feminine,,"Br., electr., telco.",0,"insulated wire, insulated conductor, wire"
insulated conductor,ˈɪnsjuːlˌeɪtɪd kəndˈʌktə,Ader,feminine,,"telco., electr., Am.",0,"insulated wire, core, wire"
transposed cores,tɹanspˈəʊzd kˈɔːz,gekreuzte Adern,,,Br.,0,transposed conductors
transposed conductors,tɹanspˈəʊzd kəndˈʌktəz,gekreuzte Adern,,,Am.,0,transposed cores
Admiralty Board,ˈadməɹəlti bˈɔːd,Admiralität,feminine,,"Br., mil.",0,"admirals, admiralty, Navy Department"
Navy Department,nˈeɪvi dɪpˈɑːtmənt,Admiralität,feminine,,"mil., Am.",0,"Admiralty Board, admirals, admiralty"
and,or whatever,"und Ähnliches, und dergleichen  u. dgl. m.,  /jˈuː dˌiːdʒˌiːˈɛl ˈɛm/",,,"coll., geh.",0,"and these sort of things, and suchlike, and/or whatnot"
and these sort of things,and ðiːz sˈɔːt ɒv θˈɪŋz,"und Ähnliches, und dergleichen  u. dgl. m.,  /jˈuː dˌiːdʒˌiːˈɛl ˈɛm/",,,"coll., geh.",0,"and suchlike, and/or whatever, and/or whatnot"
similitude,sˈɪmɪlˌɪtjuːd,Ähnlichkeit,feminine,,formal,0,"likeness, similarity, resemblance"
law of equivalents,lˈɔː ɒv ɪkwˈɪvələnts,"Ähnlichkeitsprinzip , Ähnlichkeitsgesetz , Simileprinzip",neuter,,"pharm., rare",0,"principle of similars, law of similars"
homothetic centre,center,"Ähnlichkeitspunkt , Ähnlichkeitszentrum",masculine,,"math., Am.",0,"centre/center of similarity, centre/center of similitude"
Peckhamian mimicry,pɛkhˈeɪmiən mˈɪmɪkɹi,aggressive Ähnlichkeitstäuschung,,,rare,0,aggressive mimicry
change authorization,tʃˈeɪndʒ ˌɔːθəɹaɪzˈeɪʃən,Änderungsgenehmigung,feminine,,eAm.,0,change authorisation
change authorisation,tʃˈeɪndʒ ˌɔːθəɹaɪzˈeɪʃən,Änderungsgenehmigung,feminine,,Br.,0,change authorization
change authorization draft,tʃˈeɪndʒ ˌɔːθəɹaɪzˈeɪʃən dɹˈaft,Änderungsgenehmigungsentwurf,masculine,,eAm.,1,change authorisation draft
change authorisation draft,tʃˈeɪndʒ ˌɔːθəɹaɪzˈeɪʃən dɹˈaft,Änderungsgenehmigungsentwurf,masculine,,Br.,1,change authorization draft
dooking,dˈʊkɪŋ,"Äpfeltauchen , Nach-Äpfeln-Tauchen",neuter,,Sc.,0,"bobbing for apples, snap apple, apple bobbing"
snap apple,snˈap ˈapəl,"Äpfeltauchen , Nach-Äpfeln-Tauchen",neuter,,Ir.,0,"bobbing for apples, apple bobbing, dooking"
fall equinox,fˈɔːl ˈɛkwɪnˌɒks,"Herbst-Tagundnachtgleiche, Herbst-Äquinoktium",,,Am.,0,"autumn equinox, autumnal equinox"
No worries!,nˈəʊ wˈʌɹiz,"Keine Bange!, Keine Sorge!, Kein Problem!",,,"coll., Austr.",0,
aggro,ˈaɡɹəʊ,"Ärger , Scherereien , Stress , Brass",masculine,plural,"coll., Br., Dt.",0,aggravation
irritant,ˈɪɹɪtənt,"Ärgernis , Stein des Anstoßes",neuter,,fig.,1,
pain in the backside,arse,Ärgernis,neuter,,"Br., slang",0,"pain, pain in the butt / ass, pain in the neck"
pain in the butt,ass,Ärgernis,neuter,,"slang, Am.",0,"pain, pain in the backside / arse, pain in the neck"
the Chunnel,ðə tʃˈʌnəl,"der Ärmelkanaltunnel, der Kanaltunnel, der Eurotunnel",,,"coll., geogr.",0,"the English Channel Tunnel, the Channel Tunnel"
aesthetics,iːsθˈɛtɪks,"Ästhetik , Theorie der sinnlichen Wahrnehmung",feminine,,"art, Br., phil.",0,esthetics
esthetics,ɛsθˈɛtɪks,"Ästhetik , Theorie der sinnlichen Wahrnehmung",feminine,,"art, phil., Am.",0,aesthetics
the aesthetic,ðɪ iːsθˈɛtɪk,die Ästhetik von etw.,,,Br.,1,esthetic of sth.
aestheticisation,ˌiːsθɪtˌɪsaɪzˈeɪʃən,Ästhetisierung,feminine,,"art, Br., phil.",0,aestheticization
anaesthetic ether,ˌanəsθˈɛtɪk ˈiːθə,"Narkoseäther , Narkoseether , Anästhesieäther , Anästhesieether",masculine,,Br.,0,anesthetic ether
anesthetic ether,ˌanɪsθˈɛtɪk ˈiːθə,"Narkoseäther , Narkoseether , Anästhesieäther , Anästhesieether",masculine,,Am.,0,anaesthetic ether
etherise sb.,ˈiːθəɹˌaɪz ˌɛsbˈiː,"jdn. mit Äther betäuben, mit Äther narkotisieren",,,"med., Br.",0,etherize sb.
etherize sb.,ˈiːθəɹˌaɪz ˌɛsbˈiː,"jdn. mit Äther betäuben, mit Äther narkotisieren",,,"med., Am.",0,etherise sb.
etherise,ˈiːθəɹˌaɪz,eine Äthernarkose durchführen,,,"med., Br.",0,etherize
etherize,ˈiːθəɹˌaɪz,eine Äthernarkose durchführen,,,"med., Am.",0,etherise
be jonesing,biː dʒˈəʊnzɪŋ,einen Affen schieben,,,"slang, Am.",0,
breakneck speed,bɹˈeɪknɛk spˈiːd,"Affentempo , Affenzahn",masculine,,"coll., ugs.",1,
buffoonery,bəfˈuːnəɹi,"Affentheater , Affenzirkus , Affenkomödie",masculine,,"ugs., pej., silly",0,"madhouse, charade, crazy business"
punishment for an offence,offense,Ahndung einer Straftat,,,"jur., Am.",0,
ash-leaf maple,ˈaʃ lˈiːf mˈeɪpəl,"Eschenblättriger Ahorn , Eschenahorn",masculine,,Br.,0,"maple ash, boxelder maple, ash-leaved maple"
Royal Academy of Arts,ɹˈɔɪəl ɐkˈadəmi ɒv ˈɑːts,Akademie der Künste,,,Br.,0,
wattles,wˈɒtəlz,"Akazienbäume , Akazien",,plural,"Austr., bot.",0,acacia trees
acclimatisation,ɐklˌaɪmɐtaɪzˈeɪʃən,"Akklimatisierung , Akklimatisation",feminine,,Br.,0,"acclimation, acclimatization"
acclimation,ɐklaɪmˈeɪʃən,"Akklimatisierung , Akklimatisation",feminine,,Am.,0,"acclimatization, acclimatisation"
the acrea,ðɪ ˈeɪkəɹə,die Akren,,plural,"anat., rare",0,the body's extremities
access to the file,ˈaksɛs tə ðə fˈaɪl,"Aktenauflage   , Möglichkeit zur (allgemeinen) Akteneinsicht",feminine,,"Schw., public",0,
Crimewatch,kɹˈaɪmwɒtʃ,Aktenzeichen XY … ungelöst,,,Br.,0,Fugitive Watch
Fugitive Watch,fjˈuːdʒɪtˌɪv wˈɒtʃ,Aktenzeichen XY … ungelöst,,,Am.,0,Crimewatch
protagonist,pɹˈəʊtɐɡənˌɪst,"Hauptakteur , Protagonist",masculine,,main,1,
share,ʃˈeə,Aktie,feminine,,"Br., fin.",31,"share of stock, stock"
share of stock,ʃˈeəɹ ɒv stˈɒk,Aktie,feminine,,"fin., Am.",0,"share, stock"
stock,stˈɒk,Aktie,feminine,,"fin., Am.",30,"share, share of stock"
stocks,stˈɒks,Aktien,,plural,Am.,24,shares
own shares,ˈəʊn ʃˈeəz,"eigene Aktien, Vorratsaktien , Aktien in Eigenbesitz",,plural,Br.,0,treasury stock
penny stocks,pˈɛni stˈɒks,hochspekulative Aktien mit niedrigem Kurs,,,Am.,0,
retire shares,ɹɪtˈaɪə ʃˈeəz,Aktien einziehen,,,Am.,0,
issue(ing) of shares,ˈɪʃuː ˈɪŋ ɒv ʃˈeəz,"Aktienausgabe , Aktienemission , Effektenemission",feminine,,"Br., fin.",0,"share issue, issuance of stocks, stock issue"
issuance of stocks,ˈɪsjuːəns ɒv stˈɒks,"Aktienausgabe , Aktienemission , Effektenemission",feminine,,"fin., Am.",0,"share issue, stock issue, issue(ing) of shares"
stockholding,stˈɒkhəʊldɪŋ,Aktienbesitz,masculine,,"fin., Am.",0,"share/stock ownership, holding of shares/stocks, shareholding"
holding of shares,stocks,Aktienbesitz,masculine,,"fin., Am.",0,"stockholding, share/stock ownership, shareholding"
share portfolio,ʃˈeə pɔːtfˈəʊlɪˌəʊ,"Aktienbestand , Aktienportfolio , Aktienportefeuille , Aktiendepot",masculine,,"Br., fin.",0,stock portfolio
stock portfolio,stˈɒk pɔːtfˈəʊlɪˌəʊ,"Aktienbestand , Aktienportfolio , Aktienportefeuille , Aktiendepot",masculine,,"fin., Am.",0,share portfolio
joint stock bank,dʒˈɔɪnt stˈɒk bˈaŋk,Aktienbank,feminine,,"Br., fin.",1,incorporated bank
incorporated bank,ɪŋkˈɔːpəɹˌeɪtɪd bˈaŋk,Aktienbank,feminine,,"fin., Am.",0,joint stock bank
stock (option) right,stˈɒk ˈɒpʃən ɹˈaɪt,Aktienbezugsrecht,neuter,,"Br., fin.",0,share/stock purchase right
public limited company,pˈʌblɪk lˈɪmɪtɪd kˈʌmpəni,"Aktiengesellschaft   AG,  /ˈaɡ/",feminine,,"Br., econ.",0,"joint-stock company, stock corporation"
stock corporation,stˈɒk kˌɔːpəɹˈeɪʃən,"Aktiengesellschaft   AG,  /ˈaɡ/",feminine,,"econ., Am.",0,"joint-stock company, public limited company"
class of shares,klˈas ɒv ʃˈeəz,"Aktiengattung , Gattung",feminine,,"Br., fin.",0,"class of stock, class"
Public Companies Act,pˈʌblɪk kˈʌmpəniz ˈakt,Aktiengesetz,neuter,,"Br., jur.",0,"Stock Corporation Act, Corporation Act"
Corporation Act,kˌɔːpəɹˈeɪʃən ˈakt,Aktiengesetz,neuter,,"jur., Am.",0,"Stock Corporation Act, Public Companies Act"
share index,ʃˈeəɹ ˈɪndɛks,"Aktienindex , Börsenindex , Börseindex",masculine,,"Br., fin., Ös.",0,"stock price average, stock index, stock market index"
Footsie,fˈʊtsi,britischer Aktienindex,masculine,,Br.,0,"FT-SE 100 index, Financial Times Stock Exchange 100 Share Index"
stock spin-off,stˈɒk spˈɪn ˈɒf,Aktienkapitalübertragung,feminine,,"fin., Am.",0,share spin-off
stock price,stˈɒk pɹˈaɪs,"Aktienkurs , Kurs",masculine,,"fin., Am.",0,share price
share option,ʃˈeəɹ ˈɒpʃən,Aktienoption,feminine,,"Br., fin.",2,stock option
stock option,stˈɒk ˈɒpʃən,Aktienoption,feminine,,"fin., Am.",3,share option
acquisition of shares,ɐkwɪsˈɪʃən ɒv ʃˈeəz,Aktienübernahme,feminine,,"Br., fin.",0,stock takeover
stock takeover,stˈɒk tˈeɪkəʊvə,Aktienübernahme,feminine,,"fin., Am.",0,acquisition of shares
transfer of shares,tɹˈansfɜːɹ ɒv ʃˈeəz,Aktienübertragung,feminine,,"Br., fin.",0,stock transfer
stock transfer,stˈɒk tɹˈansfɜː,Aktienübertragung,feminine,,"fin., Am.",0,transfer of shares
stock subscriber,stˈɒk səbskɹˈaɪbə,Aktienzeichner,masculine,,"fin., Am.",0,"applicant for shares, subscriber to shares, share applicant"
applicant for shares,ˈaplɪkənt fɔː ʃˈeəz,Aktienzeichner,masculine,,"Br., fin.",0,"subscriber to shares, stock subscriber, share applicant"
share applicant,ʃˈeəɹ ˈaplɪkənt,Aktienzeichner,masculine,,"Br., fin.",0,"applicant for shares, subscriber to shares, stock subscriber"
share certificat,ʃˈeə sˈɜːtɪfˌɪkat,"Aktienzertifikat , Aktienurkunde",feminine,,Br.,0,stock certificate
stock certificate,stˈɒk sətˈɪfɪkət,"Aktienzertifikat , Aktienurkunde",feminine,,Am.,0,share certificat
shareholder,ʃˈeəhəʊldə,"Aktionär , Aktieninhaber , Anteilsinhaber , Aktienbesitzer , Anteilseigner , Gesellschafter",masculine,,"Br., econ.",0,"equity holder, stockholder"
stockholder,stˈɒkhəʊldə,"Aktionär , Aktieninhaber , Anteilsinhaber , Aktienbesitzer , Anteilseigner , Gesellschafter",masculine,,"econ., Am.",0,"equity holder, shareholder"
majority shareholder,mədʒˈɒɹɪti ʃˈeəhəʊldə,"Mehrheitsaktionär , Mehrheitseigner",masculine,,Br.,0,majority stockholder
majority stockholder,mədʒˈɒɹɪti stˈɒkhəʊldə,"Mehrheitsaktionär , Mehrheitseigner",masculine,,Am.,0,majority shareholder
action programme,ˈakʃən pɹˈəʊɡɹam,"Aktionsprogramm , Handlungsprogramm",neuter,,Br.,0,action program
pursuit,pəsˈuːt,"Aktivität   , Beschäftigung , Betätigung",feminine,,"personal, private",2,
acceptation,ɐksɪptˈeɪʃən,"Akzeptanz , positive Resonanz , Zuspruch",masculine,,"soc., rare",0,"take-up, acceptance"
take-up,tˈeɪk ˈʌp,"Akzeptanz , positive Resonanz , Zuspruch",masculine,,"Br., soc.",2,"acceptation, acceptance"
street cred,stɹˈiːt kɹˈɛd,Akzeptanz in der Szene,,,"slang, soc.",0,"cred, street credibility"
cred,kɹˈɛd,Akzeptanz in der Szene,,,"slang, soc.",0,"street cred, street credibility"
marchalan,mˈɑːtʃɐlˌan,"Echter Alant, Schlangenkraut",neuter,,Welch,0,"horse-heal, elecampane, elfdock"
tocsin,tˈɒksɪn,Alarmglocke,feminine,,dated,0,alarm bell
tocsin,tˈɒksɪn,Alarmsignal,neuter,,"übtr., fig.",0,"alarm signal, danger signal"
